"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 05월 02일","14,300","14,100","14,400","14,000","55.73K","0.00%"
"2019년 04월 30일","14,300","14,350","14,350","13,750","108.40K","0.00%"
"2019년 04월 29일","14,300","13,800","14,350","13,500","109.32K","3.62%"
"2019년 04월 26일","13,800","14,200","14,250","13,750","83.86K","-3.50%"
"2019년 04월 25일","14,300","14,100","14,350","13,450","87.39K","1.06%"
"2019년 04월 24일","14,150","14,450","14,450","13,550","259.75K","-2.41%"
"2019년 04월 23일","14,500","14,150","14,600","13,300","591.65K","2.47%"
"2019년 04월 22일","14,150","13,150","14,200","13,100","717.65K","7.60%"
"2019년 04월 19일","13,150","12,300","13,200","12,150","221.82K","7.35%"
"2019년 04월 18일","12,250","12,150","12,500","12,050","63.10K","0.82%"
"2019년 04월 17일","12,150","12,250","12,300","11,950","97.37K","-0.82%"
"2019년 04월 16일","12,250","12,250","12,300","12,000","78.34K","0.41%"
"2019년 04월 15일","12,200","12,150","12,750","12,050","147.68K","0.00%"
"2019년 04월 12일","12,200","12,200","12,400","12,100","41.57K","0.41%"
"2019년 04월 11일","12,150","11,900","12,150","11,900","42.70K","1.67%"
"2019년 04월 10일","11,950","11,650","12,000","11,650","57.10K","2.58%"
"2019년 04월 09일","11,650","11,750","11,800","11,550","55.92K","-0.43%"
"2019년 04월 08일","11,700","11,600","11,800","11,500","36.82K","0.86%"
"2019년 04월 05일","11,600","11,700","11,750","11,400","61.10K","-0.43%"
"2019년 04월 04일","11,650","11,800","11,850","11,600","49.82K","-1.27%"
"2019년 04월 03일","11,800","11,750","11,900","11,600","115.51K","0.00%"
"2019년 04월 02일","11,800","11,900","11,900","11,650","56.29K","-1.26%"
"2019년 04월 01일","11,950","11,900","11,950","11,700","50.74K","0.84%"
"2019년 03월 29일","11,850","11,800","11,950","11,600","43.85K","-0.42%"
"2019년 03월 28일","11,900","11,950","12,000","11,750","15.62K","-0.42%"
"2019년 03월 27일","11,950","11,950","12,000","11,850","18.66K","-0.83%"
"2019년 03월 26일","12,050","11,850","12,100","11,850","24.75K","0.84%"
"2019년 03월 25일","11,950","12,150","12,150","11,800","16.59K","-1.65%"
"2019년 03월 22일","12,150","12,300","12,300","12,000","29.10K","-0.82%"
"2019년 03월 21일","12,250","12,200","12,300","12,000","41.74K","0.41%"
"2019년 03월 20일","12,200","12,500","12,500","12,100","32.89K","-2.01%"
"2019년 03월 19일","12,450","12,500","12,550","12,350","25.50K","-0.40%"
"2019년 03월 18일","12,500","12,600","12,600","12,300","31.55K","-0.79%"
"2019년 03월 15일","12,600","12,500","12,700","12,350","34.04K","1.20%"
"2019년 03월 14일","12,450","12,400","12,450","12,050","29.61K","0.81%"
"2019년 03월 13일","12,350","12,150","12,350","12,100","14.09K","1.23%"
"2019년 03월 12일","12,200","12,050","12,250","12,050","25.29K","1.67%"
"2019년 03월 11일","12,000","12,500","12,500","11,950","66.48K","-4.00%"
"2019년 03월 08일","12,500","12,350","12,500","12,250","14.13K","1.21%"
"2019년 03월 07일","12,350","12,200","12,400","12,050","27.98K","1.23%"
"2019년 03월 06일","12,200","12,450","12,450","12,000","65.32K","-1.61%"
"2019년 03월 05일","12,400","12,450","12,450","12,000","23.76K","0.40%"
"2019년 03월 04일","12,350","12,350","12,550","12,300","15.46K","0.00%"
"2019년 02월 28일","12,350","12,550","12,700","12,350","20.23K","-0.80%"
"2019년 02월 27일","12,450","12,350","12,700","12,350","22.04K","-0.40%"
"2019년 02월 26일","12,500","12,750","12,800","12,350","39.63K","-1.57%"
"2019년 02월 25일","12,700","13,150","13,150","12,650","31.98K","-3.42%"
"2019년 02월 22일","13,150","12,650","13,150","12,650","9.22K","2.73%"
"2019년 02월 21일","12,800","12,750","13,000","12,600","46.43K","0.39%"
"2019년 02월 20일","12,750","13,200","13,250","12,700","53.06K","-3.41%"
"2019년 02월 19일","13,200","13,400","13,400","13,050","21.53K","0.00%"
"2019년 02월 18일","13,200","13,150","13,450","13,100","17.97K","0.00%"
"2019년 02월 15일","13,200","13,250","13,250","13,000","14.85K","-0.38%"
"2019년 02월 14일","13,250","13,450","13,450","13,100","3.15K","-0.38%"
"2019년 02월 13일","13,300","13,250","13,300","13,000","7.92K","0.76%"
"2019년 02월 12일","13,200","13,350","13,450","13,150","22.83K","-1.12%"
"2019년 02월 11일","13,350","13,500","13,500","13,200","40.25K","-1.11%"
"2019년 02월 08일","13,500","13,550","13,600","13,350","11.47K","-0.37%"
"2019년 02월 07일","13,550","13,550","13,600","13,450","4.13K","0.00%"
"2019년 02월 01일","13,550","13,500","13,600","13,350","3.12K","0.00%"
"2019년 01월 31일","13,550","13,400","13,550","13,050","17.76K","1.88%"
"2019년 01월 30일","13,300","13,650","13,700","13,200","12.22K","-2.21%"
"2019년 01월 29일","13,600","13,550","13,600","13,150","12.50K","0.74%"
"2019년 01월 28일","13,500","13,250","13,500","13,150","13.10K","0.75%"
"2019년 01월 25일","13,400","13,250","13,550","13,250","9.29K","-0.74%"
"2019년 01월 24일","13,500","13,100","13,550","12,950","21.29K","3.05%"
"2019년 01월 23일","13,100","13,300","13,600","13,000","16.71K","-1.87%"
"2019년 01월 22일","13,350","13,550","13,550","13,250","13.53K","-1.48%"
"2019년 01월 21일","13,550","13,550","13,800","13,350","13.45K","-0.73%"
"2019년 01월 18일","13,650","13,450","13,700","13,350","24.97K","1.87%"
"2019년 01월 17일","13,400","13,450","13,500","13,300","15.42K","0.37%"
"2019년 01월 16일","13,350","13,400","13,550","13,250","42.81K","-0.37%"
